,count,mean,std,min,25%,50%,75%,max
shape_x,274.0,293.18978102189783,42.32994988296974,234.0,266.0,266.0,360.0,360.0
shape_y,274.0,278.95620437956205,19.847170146644856,234.0,266.0,266.0,310.0,310.0
shape_z,274.0,140.4963503649635,14.585418021633997,80.0,144.0,144.0,144.0,144.0
spacing_x,274.0,1.5071167880601257,0.029626629269745724,1.5,1.5,1.5,1.5,1.6299999952316284
spacing_y,274.0,1.5071167880601257,0.029626629269745724,1.5,1.5,1.5,1.5,1.6299999952316284
spacing_z,274.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
fov_x_mm,274.0,441.7489050374414,63.22027136849852,351.0,399.0,399.0,540.0,540.0
fov_y_mm,274.0,420.39854007393774,30.58883024441864,351.0,399.0,399.0,465.0,465.0
fov_z_mm,274.0,421.4890510948905,43.75625406490199,240.0,432.0,432.0,432.0,432.0
num_voxels,274.0,11630594.102189781,2956025.140176125,6094080.0,10188864.0,10188864.0,16070400.0,16070400.0
